Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
1.155.000 TL;Renault;Megane;1.5 Blue DCI Touch;2020.0;182.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 1 boyalı
349.000 TL;Renault;Symbol;1.5 dCi Authentique;2011.0;313.000 km;;;;1461 cc;85 hp;Sedan;Belirtilmemiş
575.000 TL;Renault;Symbol;1.5 dCi Joy;2016.0;210.000 km;;;;1461 cc;90 hp;Sedan;Tamamı orjinal
520.000 TL;Renault;Megane;1.6 Dynamique;2004.0;250.000 km;;;;1598 cc;115 hp;Hatchback/5;Belirtilmemiş
1.499.000 TL;Renault;Megane;1.3 TCe Icon;2020.0;50.840 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
1.895.000 TL;Renault;Megane;1.5 Blue DCI Touch;2024.0;6.061 km;;;;1461 cc;115 hp;Sedan;Tamamı orjinal
1.738.000 TL;Renault;Megane;1.3 TCe Icon;2024.0;34.500 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
1.045.000 TL;Renault;Megane;1.3 TCe Joy;2019.0;106.000 km;;;;1332 cc;140 hp;Sedan;1 değişen, 1 boyalı
269.000 TL;Renault;R 9;1.4 Broadway RNi;1999.0;330.000 km;;;;1397 cc;72 hp;Sedan;Tamamı orjinal
758.500 TL;Renault;Clio;1.0 SCe Joy;2021.0;85.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Hatchback/5;Tamamı orjinal
1.275.000 TL;Renault;Megane;1.5 Blue DCI Touch;2019.0;101.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;4 boyalı
1.520.000 TL;Renault;Megane;1.3 TCe Joy Comfort;2024.0;16.000 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
1.415.000 TL;Renault;Megane;1.5 dCi Icon;2017.0;120.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 boyalı
230.000 TL;Renault;R 12;SW;1977.0;250.000 km;;;;1300 cc;60 hp;Station wagon;Tamamı orjinal
560.000 TL;Renault;Fluence;1.5 dCi Business;2012.0;240.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;8 boyalı
1.179.000 TL;Renault;Clio;1.0 TCe Equilibre;2024.0;52.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.195.000 TL;Renault;Megane;1.5 Blue DCI Touch;2020.0;124.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 5 boyalı
1.019.500 TL;Renault;Clio;1.0 TCe Joy;2022.0;90.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Belirtilmemiş
155.000 TL;Renault;R 12;Toros;1990.0;123.456 km;;;;1397 cc;72 hp;Sedan;Belirtilmemiş
595.000 TL;Renault;Fluence;1.5 dCi Business;2011.0;220.000 km;;;;1461 cc;85 hp;Sedan;Belirtilmemiş
1.325.000 TL;Renault;Megane;1.3 TCe Joy;2022.0;86.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;Tamamı orjinal
2.149.500 TL;Renault;Megane;1.5 Blue DCI Icon;2025.0;6.200 km;;;;1461 cc;115 hp;Sedan;Tamamı orjinal
1.535.000 TL;Renault;Megane;1.3 TCe Touch;2024.0;61.740 km;;;;1332 cc;140 hp;Sedan;Tamamı orjinal
459.000 TL;Renault;Clio;1.5 dCi Extreme;2008.0;225.000 km;;;;1461 cc;65 hp;Sedan;Tamamı orjinal
668.000 TL;Renault;Symbol;1.5 dCi Touch;2017.0;210.000 km;;;;1461 cc;90 hp;Sedan;1 değişen, 2 boyalı
379.000 TL;Renault;Symbol;1.5 dCi Joy;2016.0;423.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;4 değişen, 3 boyalı
1.025.000 TL;Renault;Megane;1.5 dCi Touch;2018.0;186.000 km;;;;1461 cc;110 hp;Hatchback/5;6 boyalı
205.000 TL;Renault;R 12;Toros;1991.0;250.000 km;;;;1397 cc;72 hp;Sedan;11 boyalı
930.000 TL;Renault;Megane;1.6 Joy;2018.0;205.000 km;;;;1598 cc;115 hp;Sedan;Belirtilmemiş
579.000 TL;Renault;Megane;1.5 dCi Business;2012.0;199.000 km;;;;1461 cc;90 hp;Hatchback/5;5 boyalı
1.195.000 TL;Renault;Megane;1.6 Joy;2019.0;38.500 km;;;;1598 cc;115 hp;Hatchback/5;Tamamı orjinal
810.000 TL;Renault;Clio;1.0 SCe Joy;2022.0;52.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Hatchback/5;Tamamı orjinal
1.020.000 TL;Renault;Clio;1.5 dCi Touch;2017.0;106.104 km;;;;1461 cc;90 hp;Hatchback/5;5 boyalı
400.000 TL;Renault;Scenic;1.6 RXE;2000.0;248.500 km;;;;1598 cc;107 hp;MPV;1 değişen, 12 boyalı
969.000 TL;Renault;Taliant;1.0 Tce Joy;2023.0;93.000 km;;;;999 cc;90 hp;Sedan;Tamamı orjinal
770.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2013.0;217.000 km;;;;1461 cc;90 hp;Sedan;1 boyalı
1.130.000 TL;Renault;Megane;1.3 TCe Joy Comfort;2022.0;112.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;1 değişen
689.000 TL;Renault;Clio;1.5 dCi Icon;2014.0;205.000 km;;;;1461 cc;90 hp;Hatchback/5;Tamamı orjinal
1.620.000 TL;Renault;Megane;1.3 TCe Icon;2023.0;50.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;1 değişen, 1 boyalı
1.189.000 TL;Renault;Megane;1.5 Blue DCI Joy Comfort;2021.0;166.500 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1.185.000 TL;Renault;Megane;1.5 Blue DCI Joy;2021.0;88.100 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 1 boyalı
699.000 TL;Renault;Clio;1.2 SportTourer Joy;2015.0;105.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Station wagon;Tamamı orjinal
560.000 TL;Renault;Clio;1.2 SportTourer Joy;2013.0;240.000 km;;;;1149 cc;75 hp;Station wagon;Belirtilmemiş
790.000 TL;Renault;Megane;1.5 dCi Touch;2018.0;288.000 km;;;;1461 cc;110 hp;Hatchback/5;1 değişen, 3 boyalı
885.000 TL;Renault;Fluence;1.5 dCi Icon;2015.0;195.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1.150.000 TL;Renault;Megane;1.5 dCi Touch;2016.0;183.000 km;;;;1461 cc;110 hp;Sedan;3 boyalı
985.000 TL;Renault;Clio;1.0 TCe Joy;2022.0;67.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;3 boyalı
1.495.000 TL;Renault;Megane;1.3 TCe Touch;2023.0;49.350 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.760.000 TL;Renault;Megane;1.5 Blue DCI Touch;2024.0;15.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
995.000 TL;Renault;Clio;1.3 TCe Touch;2020.0;114.000 km;;;;1332 cc;130 hp;Hatchback/5;1 değişen
770.000 TL;Renault;Fluence;1.5 dCi Touch;2015.0;260.000 km;;;;1461 cc;90 hp;Sedan;1 boyalı
785.000 TL;Renault;Clio;1.5 dCi Touch;2016.0;200.000 km;;;;1461 cc;90 hp;Hatchback/5;5 boyalı
1.199.000 TL;Renault;Megane;1.5 Blue DCI Joy Comfort;2021.0;153.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 boyalı
1.415.000 TL;Renault;Megane;1.5 Blue DCI Icon;2019.0;98.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
985.000 TL;Renault;Clio;1.0 TCe Touch;2022.0;100.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;3 boyalı
1.125.000 TL;Renault;Clio;1.0 TCe Touch;2021.0;56.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.135.000 TL;Renault;Clio;1.0 TCe Joy;2022.0;17.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.139.900 TL;Renault;Clio;1.0 TCe Touch;2021.0;37.500 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
807.000 TL;Renault;Taliant;1.0 Tce Joy;2022.0;107.000 km;;;;999 cc;90 hp;Sedan;1 değişen, 1 boyalı
335.000 TL;Renault;Megane;1.5 dCi Authentique;2005.0;390.000 km;;;;1461 cc;100 hp;Sedan;1 değişen, 4 boyalı
675.000 TL;Renault;Fluence;1.5 dCi Touch;2013.0;247.000 km;;;;1461 cc;110 hp;Sedan;7 boyalı
640.000 TL;Renault;Megane;1.5 dCi Touch;2013.0;204.000 km;;;;1461 cc;90 hp;Hatchback/5;5 boyalı
1.275.000 TL;Renault;Clio;1.0 TCe Evolution;2024.0;32.000 km;;;;999 cc;90 hp;Hatchback/5;Tamamı orjinal
1.289.000 TL;Renault;Clio;1.0 TCe Evolution;2024.0;15.824 km;;;;999 cc;90 hp;Hatchback/5;Tamamı orjinal
120.000 TL;Renault;R 12;Toros;1989.0;250.000 km;;;;1201 - 1400 cm3;51 - 75 HP;Sedan;Tamamı boyalı
455.000 TL;Renault;Symbol;1.2 Expression;2011.0;135.000 km;;;;1149 cc;75 hp;Sedan;1 değişen, 2 boyalı
505.000 TL;Renault;Clio;1.5 dCi Joy;2014.0;258.000 km;;;;1461 cc;75 hp;Hatchback/5;5 boyalı
425.000 TL;Renault;Megane;1.5 dCi Extreme;2007.0;345.000 km;;;;1461 cc;80 hp;Sedan;Belirtilmemiş
949.000 TL;Renault;Fluence;1.5 dCi Icon;2015.0;111.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;6 boyalı
689.000 TL;Renault;Clio;1.5 dCi Joy;2017.0;179.000 km;;;;1461 cc;75 hp;Hatchback/5;Belirtilmemiş
1.060.000 TL;Renault;Megane;1.5 dCi Touch;2018.0;190.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 5 boyalı
815.000 TL;Renault;Clio;0.9 TCe Touch;2020.0;136.000 km;;;;898 cc;90 hp;Hatchback/5;Tamamı orjinal
1.129.000 TL;Renault;Megane;1.5 dCi Joy;2017.0;94.000 km;;;;1461 cc;90 hp;Sedan;Tamamı orjinal
1.120.000 TL;Renault;Megane;1.3 TCe Joy;2019.0;72.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;Tamamı orjinal
525.000 TL;Renault;Clio;0.9 TCe Icon;2013.0;226.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
949.950 TL;Renault;Clio;1.0 TCe Joy;2023.0;85.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;1 değişen, 6 boyalı
1.159.000 TL;Renault;Megane;1.5 dCi Touch Plus;2017.0;159.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş
590.000 TL;Renault;Symbol;1.5 dCi Joy;2016.0;239.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;1 değişen, 2 boyalı
1.209.000 TL;Renault;Clio;1.0 TCe Evolution;2024.0;53.000 km;;;;999 cc;90 hp;Hatchback/5;Tamamı orjinal
1.025.000 TL;Renault;Clio;1.0 TCe Icon;2021.0;186.500 km;;;;999 cc;90 hp;Hatchback/5;Tamamı orjinal
650.000 TL;Renault;Clio;1.5 dCi Joy;2016.0;230.000 km;;;;1461 cc;75 hp;Hatchback/5;Belirtilmemiş
390.000 TL;Renault;Clio;1.5 dCi Extreme;2007.0;214.000 km;;;;1461 cc;65 hp;Hatchback/5;1 değişen, 11 boyalı
235.000 TL;Renault;R 19;1.6 Europa RNE;1998.0;224.000 km;;;;1598 cc;90 hp;Sedan;1 değişen, 4 boyalı
430.000 TL;Renault;Clio;1.5 dCi Authentique;2009.0;225.000 km;;;;1461 cc;70 hp;Hatchback/5;6 boyalı
1.139.000 TL;Renault;Megane;1.6 Touch;2019.0;82.000 km;;;;1598 cc;115 hp;Sedan;Tamamı orjinal
645.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2014.0;270.000 km;;;;1461 cc;110 hp;Sedan;Tamamı orjinal
1.055.000 TL;Renault;Megane;1.5 Blue DCI Joy;2020.0;135.000 km;;;;1461 cc;115 hp;Sedan;1 değişen, 2 boyalı
815.000 TL;Renault;Clio;0.9 TCe Touch;2019.0;85.000 km;;;;898 cc;90 hp;Hatchback/5;Belirtilmemiş
1.250.000 TL;Renault;Clio;1.0 TCe Icon;2023.0;40.500 km;;;;999 cc;90 hp;Hatchback/5;Tamamı orjinal
410.000 TL;Renault;Megane;1.5 dCi Expression;2007.0;290.000 km;;;;1461 cc;100 hp;Sedan;2 değişen, 6 boyalı
610.000 TL;Renault;Symbol;1.2 Joy;2013.0;56.000 km;;;;1149 cc;75 hp;Sedan;5 boyalı
999.500 TL;Renault;Clio;1.0 TCe Joy;2022.0;104.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Belirtilmemiş
730.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2014.0;190.000 km;;;;1461 cc;90 hp;Sedan;2 boyalı
310.000 TL;Renault;Megane;1.4 Authentique;2004.0;312.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;Tamamı boyalı
1.245.000 TL;Renault;Clio;1.0 TCe Evolution;2024.0;24.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
569.500 TL;Renault;Symbol;1.4 Expression;2009.0;108.000 km;;;;1390 cc;75 hp;Sedan;Belirtilmemiş
1.151.500 TL;Renault;Clio;1.0 TCe Techno Esprit Alpine;2024.0;7.500 km;;;;999 cc;90 hp;Hatchback/5;Belirtilmemiş
375.000 TL;Renault;Megane;1.6 Dynamique;2006.0;315.000 km;;;;1598 cc;115 hp;Hatchback/5;1 değişen, 3 boyalı
915.000 TL;Renault;Megane;1.2 TCe Touch;2016.0;199.000 km;;;;1198 cc;130 hp;Hatchback/5;4 boyalı
795.000 TL;Renault;Scenic;1.5 dCi Privilege;2012.0;255.000 km;;;;1461 cc;110 hp;MPV;2 boyalı
770.000 TL;Renault;Clio;0.9 TCe Touch;2019.0;121.000 km;;;;898 cc;90 hp;Hatchback/5;Belirtilmemiş
399.000 TL;Renault;Symbol;1.5 dCi Joy;2016.0;330.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;3 değişen, 1 boyalı
449.900 TL;Renault;Latitude;1.5 dCi Expression;2011.0;308.000 km;;;;1461 cc;110 hp;Sedan;2 değişen, 10 boyalı
595.000 TL;Renault;Clio;1.6 Dynamique;2007.0;206.000 km;;;;1598 cc;110 hp;Hatchback/5;1 değişen, 3 boyalı
500.000 TL;Renault;Symbol;1.5 dCi Joy;2016.0;330.000 km;;;;1461 cc;90 hp;Sedan;1 değişen, 1 boyalı
550.000 TL;Renault;Fluence;1.5 dCi Business;2011.0;235.000 km;;;;1461 cc;85 hp;Sedan;4 boyalı
260.000 TL;Renault;Clio;1.4 RTA;2000.0;323.000 km;;;;1390 cc;75 hp;Hatchback/5;Belirtilmemiş
850.000 TL;Renault;Symbol;0.9 TCe Joy;2020.0;94.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Sedan;Tamamı orjinal
342.000 TL;Renault;Clio;1.5 dCi Authentique;2007.0;257.000 km;;;;1461 cc;65 hp;Hatchback/5;5 boyalı
755.000 TL;Renault;Fluence;1.5 dCi Touch;2014.0;214.000 km;;;;1461 cc;110 hp;Sedan;1 boyalı
1.157.000 TL;Renault;Megane;1.5 dCi Touch;2019.0;155.224 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;4 boyalı
669.750 TL;Renault;Clio;1.2 Joy;2013.0;111.000 km;;;;1149 cc;75 hp;Hatchback/5;3 boyalı
439.999 TL;Renault;Symbol;1.5 dCi Authentique;2010.0;219.000 km;;;;1461 cc;65 hp;Sedan;3 boyalı
500.000 TL;Renault;Megane;1.5 dCi Privilege;2010.0;280.000 km;;;;1461 cc;105 hp;Hatchback/5;2 değişen, 10 boyalı
609.000 TL;Renault;Clio;1.5 dCi Joy;2013.0;201.000 km;;;;1461 cc;75 hp;Station wagon;Tamamı orjinal
1.049.750 TL;Renault;Megane;1.6 Joy;2018.0;73.899 km;;;;1598 cc;115 hp;Hatchback/5;Tamamı orjinal
195.000 TL;Renault;R 9;1.4 Broadway RNi;1998.0;240.000 km;;;;1397 cc;72 hp;Sedan;Tamamı orjinal
549.000 TL;Renault;Fluence;1.5 dCi Business;2011.0;229.000 km;;;;1461 cc;85 hp;Sedan;1 değişen, 4 boyalı
590.000 TL;Renault;Fluence;1.6 Privilege;2011.0;260.000 km;;;;1598 cc;105 hp;Sedan;Tamamı orjinal
1.099.000 TL;Renault;Megane;1.5 Blue DCI Joy;2020.0;225.000 km;;;;1461 cc;115 hp;Sedan;1 boyalı
647.000 TL;Renault;Fluence;1.5 dCi Touch;2014.0;251.000 km;;;;1461 cc;90 hp;Sedan;1 değişen, 2 boyalı
745.000 TL;Renault;Clio;0.9 TCe Touch;2020.0;139.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;2 boyalı
565.000 TL;Renault;Clio;1.2 Joy;2012.0;63.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Hatchback/5;1 değişen, 6 boyalı
445.000 TL;Renault;Megane;1.6 Dynamique;2004.0;310.000 km;;;;1598 cc;115 hp;Sedan;Belirtilmemiş
750.000 TL;Renault;Clio;1.5 dCi Icon;2014.0;189.000 km;;;;1461 cc;90 hp;Hatchback/5;Tamamı orjinal
835.500 TL;Renault;Clio;1.5 dCi Joy;2018.0;89.000 km;;;;1461 cc;75 hp;Hatchback/5;1 boyalı
1.215.000 TL;Renault;Megane;1.5 dCi Touch;2018.0;145.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
465.000 TL;Renault;Symbol;1.4 Expression;2008.0;181.500 km;;;;1390 cc;75 hp;Sedan;Belirtilmemiş
169.750 TL;Renault;R 11;GTD;1992.0;450.000 km;;;;1801 - 2000 cm3;51 - 75 HP;Hatchback/5;Tamamı orjinal
659.000 TL;Renault;Symbol;1.5 dCi Joy;2016.0;123.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;3 boyalı
785.000 TL;Renault;Megane;1.5 dCi Touch;2016.0;294.000 km;;;;1461 cc;110 hp;Hatchback/5;2 değişen, 3 boyalı
1.429.500 TL;Renault;Clio;1.0 TCe Techno Esprit Alpine;2025.0;19.300 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.289.000 TL;Renault;Clio;1.0 TCe Evolution;2024.0;35.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.405.000 TL;Renault;Clio;1.0 TCe Techno Esprit Alpine;2024.0;12.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
540.000 TL;Renault;Symbol;1.5 dCi Joy;2017.0;248.000 km;;;;1461 cc;90 hp;Sedan;6 boyalı
455.000 TL;Renault;Symbol;1.5 dCi Expression;2012.0;275.000 km;;;;1461 cc;65 hp;Sedan;Tamamı orjinal
1.250.000 TL;Renault;Megane;1.5 Blue DCI Touch;2020.0;99.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;8 boyalı
635.000 TL;Renault;Fluence;1.5 dCi Touch;2014.0;253.800 km;;;;1461 cc;90 hp;Sedan;1 değişen, 1 boyalı
1.665.000 TL;Renault;Megane;1.3 TCe Touch;2025.0;6.001 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;Tamamı orjinal
365.000 TL;Renault;Clio;1.5 dCi Expression;2005.0;252.000 km;;;;1461 cc;80 hp;Sedan;3 boyalı
520.000 TL;Renault;Clio;1.4 Dynamique;2005.0;218.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;2 boyalı
539.000 TL;Renault;Symbol;1.2 Joy;2013.0;65.000 km;;;;1200 cm3' e kadar;51 - 75 HP;Sedan;2 boyalı
1.013.000 TL;Renault;Clio;1.0 TCe Joy;2022.0;90.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
725.000 TL;Renault;Fluence;1.5 dCi Touch Plus;2013.0;226.000 km;;;;1461 cc;110 hp;Sedan;1 değişen, 1 boyalı
585.000 TL;Renault;Clio;1.5 dCi Joy;2013.0;201.350 km;;;;1461 cc;75 hp;Station wagon;7 boyalı
300.000 TL;Toyota;Corolla;1.6 Terra Special;1999.0;310.000 km;;;;1598 cc;110 hp;Sedan;Tamamı orjinal
610.000 TL;Toyota;Corolla;1.4 D-4D Elegant;2008.0;270.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;Tamamı boyalı
1.365.000 TL;Toyota;Corolla;1.6 Touch;2018.0;80.400 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.308.850 TL;Toyota;Corolla;1.6 Vision;2019.0;69.650 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;1 boyalı
1.179.500 TL;Toyota;Corolla;1.4 D-4D Premium;2016.0;161.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;Tamamı orjinal
685.000 TL;Toyota;Yaris;1.33 Cool;2014.0;198.000 km;;;;1329 cc;99 hp;Hatchback/5;3 boyalı
1.129.750 TL;Toyota;Corolla;1.6 Advance;2015.0;163.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
895.000 TL;Toyota;Auris;1.33 Life;2017.0;117.000 km;;;;1329 cc;99 hp;Hatchback/5;2 boyalı
825.000 TL;Toyota;Corolla;1.33 Comfort;2015.0;162.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;4 boyalı
975.000 TL;Toyota;Yaris;1.5 Hybrid Cool;2015.0;126.000 km;;;;1497 cc;75 hp;Hatchback/5;2 boyalı
1.520.000 TL;Toyota;Corolla;1.8 Hybrid Dream;2021.0;52.000 km;;;;1798 cc;98 hp;Sedan;Belirtilmemiş
1.190.000 TL;Toyota;Corolla;1.8 Hybrid Dream;2019.0;140.000 km;;;;1798 cc;98 hp;Sedan;1 değişen, 1 boyalı
1.399.750 TL;Toyota;Corolla;1.5 Dream;2021.0;56.000 km;;;;1490 cc;125 hp;Sedan;Tamamı orjinal
769.800 TL;Toyota;Auris;1.6 Comfort Extra;2009.0;106.200 km;;;;1598 cc;124 hp;Hatchback/5;Tamamı orjinal
1.425.000 TL;Toyota;Corolla;1.8 Hybrid Dream;2021.0;56.862 km;;;;1798 cc;98 hp;Sedan;1 boyalı
654.000 TL;Toyota;Corolla;1.4 D-4D Advance;2016.0;345.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;3 değişen, 5 boyalı
"719.750 TL
699.750 TL";Toyota;Corolla;1.4 D-4D Comfort;2008.0;243.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Sedan;Belirtilmemiş
1.499.000 TL;Toyota;Corolla;1.5 Flame X-Pack;2022.0;59.500 km;;;;1490 cc;125 hp;Sedan;3 boyalı
1.100.000 TL;Toyota;Corolla;1.6 Advance;2013.0;144.500 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
642.500 TL;Toyota;Auris;1.33 Comfort;2011.0;120.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;1 değişen, 5 boyalı
725.000 TL;Toyota;Corolla;1.6 Comfort;2009.0;218.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 3 boyalı
1.265.000 TL;Toyota;Corolla;1.6 Advance;2016.0;121.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.514.000 TL;Toyota;Corolla;1.8 Hybrid Dream;2022.0;43.000 km;;;;1798 cc;98 hp;Sedan;Tamamı orjinal
1.649.000 TL;Toyota;Corolla;1.5 Flame X-Pack;2023.0;60.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
960.000 TL;Toyota;Auris;1.6 Active;2013.0;40.000 km;;;;1598 cc;132 hp;Hatchback/5;5 boyalı
1.339.000 TL;Toyota;Corolla;1.5 Vision;2023.0;75.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 boyalı
255.000 TL;Toyota;Corolla;1.3 XL;1994.0;383.000 km;;;;1332 cc;88 hp;Sedan;Belirtilmemiş
420.000 TL;Toyota;Corolla;1.6 Comfort;2005.0;360.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Sedan;7 boyalı
1.220.000 TL;Toyota;Corolla;1.8 Hybrid Flame X-Pack;2020.0;190.000 km;;;;1601 - 1800 cm3;101 - 125 HP;Sedan;4 boyalı
945.000 TL;Toyota;Corolla;1.33 Life;2015.0;84.000 km;;;;1329 cc;99 hp;Sedan;1 değişen, 2 boyalı
1.310.000 TL;Toyota;Corolla;1.8 Hybrid Dream;2021.0;141.000 km;;;;1798 cc;98 hp;Sedan;Belirtilmemiş
545.000 TL;Toyota;Corolla;1.6 Elegant;2007.0;333.500 km;;;;1598 cc;124 hp;Sedan;1 değişen, 3 boyalı
1.500.000 TL;Toyota;Yaris;1.5 Hybrid Passion;2020.0;54.000 km;;;;1490 cc;92 hp;Hatchback/5;Tamamı orjinal
598.000 TL;Toyota;Corolla;1.6 Sol;2003.0;285.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
849.000 TL;Toyota;Auris;1.4 D-4D Active Skypack;2013.0;188.000 km;;;;1364 cc;90 hp;Hatchback/5;5 boyalı
650.000 TL;Toyota;Corolla;1.4 D-4D Comfort;2009.0;185.000 km;;;;1365 cc;90 hp;Sedan;2 değişen, 2 boyalı
1.579.000 TL;Toyota;Corolla;1.6 Dream;2020.0;39.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.345.000 TL;Toyota;Corolla;1.6 Dream;2020.0;122.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.699.000 TL;Toyota;Corolla;1.8 Hybrid Flame X-Pack;2022.0;43.000 km;;;;1798 cc;98 hp;Sedan;Tamamı orjinal
1.238.000 TL;Toyota;Corolla;1.8 Hybrid Dream;2021.0;180.000 km;;;;1798 cc;98 hp;Sedan;1 değişen, 2 boyalı
1.135.000 TL;Toyota;Corolla;1.6 Touch;2015.0;145.000 km;;;;1598 cc;132 hp;Sedan;Tamamı orjinal
880.000 TL;Toyota;Auris;1.4 D-4D Comfort Plus;2012.0;142.000 km;;;;1364 cc;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.225.000 TL;Toyota;Corolla;1.6 Advance;2016.0;135.000 km;;;;1598 cc;132 hp;Sedan;1 değişen, 1 boyalı
750.000 TL;Toyota;Auris;1.6 Comfort Extra;2011.0;244.100 km;;;;1598 cc;124 hp;Hatchback/5;4 değişen, 1 boyalı
870.000 TL;Toyota;Corolla;1.33 Life;2013.0;151.000 km;;;;1329 cc;99 hp;Sedan;1 boyalı
750.000 TL;Toyota;Corolla;1.33 Life;2017.0;213.300 km;;;;1329 cc;99 hp;Sedan;1 boyalı
1.085.000 TL;Toyota;Corolla;1.4 D-4D Premium;2013.0;195.000 km;;;;1364 cc;90 hp;Sedan;1 boyalı
